,statement,source,t/f status
0,Katie Hobbs signing Arizona’s election certification was “unconstitutional.”,Viral image,false
1,"Elon Musk tweeted, “The Democrats paid the CEO Jack Dorsey of Twitter millions of dollars to block and delete people’s pages during the 2020 election.”",Viral image,false
2,"“Since the COVID jabs were rolled out, at least 1.1 million Americans have 'died suddenly.'”",Instagram posts,false
3,Fluctuating vote count in Fox News coverage of the Georgia U.S. Senate runoff is evidence of voter fraud.,Viral image,false
4,Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.,Instagram posts,pants-fire
5,Video shows a child telling Jill Biden to “shut up” during a speech.,Instagram posts,false
6,Video shows former President Donald Trump saying he “just can’t be upset” with Kanye West.,Viral image,false
7,Fluctuating Georgia U.S. Senate runoff vote count is evidence of election fraud.,Viral image,false
8,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",Bryan Steil,true
9,“Holiday heart syndrome” is a cover for deaths caused by the COVID-19 vaccine.,Viral image,false
10,Drone footage confirms Jeffrey Epstein is alive.,Instagram posts,pants-fire
11,Paul Pelosi hasn’t been seen in public for months because he had mpox.,Instagram posts,pants-fire
12,"On the day of the Dec. 6 runoff, “armed groups of Black Panthers” were “reportedly patrolling certain voting locations” in Georgia.",Kelly Loeffler,false
13,News clip showing Herschel Walker with early lead in Georgia U.S. Senate runoff is evidence of fraud.,Viral image,pants-fire
14,Marjorie Taylor Greene quoted Adolf Hitler on Christianity.,Viral image,false
15,"In the first three quarters of 2022, “the railroad industry made $21 billion in profits, provided $25 billion in stock buybacks and dividends” and CEOs are paid up to $20 million a year, while railroad workers have ""zero guaranteed sick leave.""",Bernie Sanders,mostly-true
16,"Canada is ""allowing children to seek out medically assisted death.”",Instagram posts,false
17,“‘Child trafficking camp’ discovered in Arizona.”,Viral image,pants-fire
18,Kirstie Alley faked her death.,Instagram posts,pants-fire
19,A photo shows a CIA agent impersonating Adolf Hitler.,Viral image,false
20,"President Joe Biden’s daughter-in-law tweeted, “The press is also covering up serious health issues that my father in law is facing. The plan is for Kamala to get a one track ride to the nomination in 2024.”",Viral image,pants-fire
21,Says Hitler said Black people are the “true Hebrews.”,Instagram posts,false
22,"""Climate activists vow to slaughter millions of dogs to ‘reduce carbon pawprint.’”",Instagram posts,pants-fire
23,"“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”",Donald Trump,pants-fire
24,Photo shows Rep. Adam Schiff and a “little boy he killed.”,Viral image,pants-fire
25,The law prohibits current Secretary of State Katie Hobbs from overseeing the election while she was a candidate for governor.,Paul Gosar,false
