,statement,condition
0, Government agencies have found a link between the COVID-19 boosters and strokes.,MISSING CONTEXT
1, There has been a surge in sudden death or cardiac injury among U.S. athletes since the COVID-19 vaccines became available.,FALSE
2, Buffalo Bills player Damar Hamlin suffered cardiac arrest as a result of the COVID-19 vaccine.,MISLEADING
3, FDA admits Pfizer’s COVID-19 vaccine causes blood clots.,MISLEADING
4, Sportswriter Grant Wahl died from a COVID-19 vaccine.,FALSE
5, Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.,FALSE
6, German autopsy study shows COVID-19 vaccines are not safe.,MISLEADING
7, Video confirms Pfizer’s CEO is “reptilian.”,FALSE
8, Country singer Jake Flint died because he received the COVID-19 vaccine.,MISLEADING
9, FDA backtracked and now says its warnings about ivermectin were only recommendations.,MISLEADING
10, Pediatric COVID-19 vaccine causes respiratory syncytial virus infections among children.,FALSE
11," Paxlovid is a fraud, and ivermectin is more effective in treating COVID-19.",FALSE
12, Bill Gates’ daughters aren’t vaccinated.,FALSE
13, Airlines are now banning pilots who are vaccinated because of the possibility of heart attacks and blood clots.,FALSE
14," Let us not be blind when we have eyes, and deaf when we have ears. The only reason for the emergence of the new syndrome that covers all ages, called “SUDDEN DEATH” is in the picture. And one more thing… If they censor the post, it’s not because of spreading false information, but because of publishing their AGENDA.",FALSE
15, Leaked Hospital Email Reveals Explosion of Stillbirths Following COVID Vaccine Rollout,FALSE
16, “One in every 500 children under five years who received the Pfizer mRNA Covid vaccine were hospitalized with a vaccine injury.”,FALSE
17, Anyone diagnosed with Covid-19 can infect others. Most people with covid-19 have little or no symptoms (asymptomatic). Such people can be treated with (standard) drugs from pharmacies. Many still cannot admit to themselves that they were CHEATED by the system they trusted too much.,MISSING CONTEXT
18, The director of Pfizer admitted that the vaccine was not tested and was not against Covid-19.,FALSE
19, Boston U. researchers combined two strains of the virus that causes COVID-19 “to create a supervirus that kills 80% of mice.”,MISLEADING
20," A study by Kaiser Permanente “shows negative efficacy of the shots against all variants within 150 days”; “the more you inject, the more you infect.”",MISLEADING
21, Bodybuilder Doug Brignole died from COVID-19 vaccine.,FALSE
22, “Peer-reviewed paper” shows “Fauci created COVID-19.”,FALSE
23, #vaccine was never tested on preventing transmission. ‘Get vaccinated for others’ was always a lie.”,MISLEADING
24," Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men.",NO EVIDENCE
25, Joe Biden told people to get the COVID-19 vaccines to protect themselves from hurricanes.,MISLEADING
26, COVID-19 vaccines were “rushed into market”; VAERS shows an “unusual spike in vaccine adverse events.”,MISLEADING
27, A 1956 video warned about COVID-19.,FALSE
28," COVID was “so bad one year, they just forgot to give us a hurricane? What’s really going on here.”",FALSE
29," COVID-19 vaccine safety data “are deeply concerning, especially in relation to cardiovascular safety.”",NO EVIDENCE
30, The CDC expects the number of people who need anticoagulants to double after getting the COVID-19 vaccine.,FALSE
31, “The FDA hid the evidence that HCQ [hydroxychloroquine] was effective in the early treatment of the disease. Hundreds of thousands of people died as a result of this lie.”,NO EVIDENCE
32, A French insurance company refused to pay benefits for a man who died after receiving the vaccine because the insurer deemed it “a medical experiment.”,FALSE
33, A French insurance company refused to pay benefits for a man who died after receiving the vaccine because the insurer deemed it “a medical experiment.”,FALSE
34, Denmark banned COVID-19 vaccines for anyone under 50.,FALSE
35, “Covid-19 Vaccines 98 Times Worse Than the Virus”,FALSE
36, A royal guard member collapsed because of the COVID-19 vaccine.,FALSE
37, “There is an international medical crisis due to the diseases and deaths co-related to the administration of products known as ‘COVID-19 vaccines.’”,NO EVIDENCE
38, Embalmers find “strange clots” in corpses since the implementation of COVID-19 vaccines.,NO EVIDENCE
39, Queen Elizabeth died because of the COVID-19 vaccine.,FALSE
40," Ivermectin reduces COVID death risk by 92%, peer-reviewed study finds”; NIH now lists ivermectin as COVID-19 therapy.",MISLEADING
41, mRNA vaccines cause “vascular and organ damage” that can lead to death.,FALSE
42," “Ivermectin reduces COVID death risk by 92%, peer-reviewed study finds.”",FALSE
43," “Ivermectin reduces COVID death risk by 92%, peer-reviewed study finds.”",FALSE
44, The National Institutes of Health “adds ivermectin to list of COVID-approved treatments.”,FALSE
45, The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,FALSE
46, “[T]he peak of vaccine mandates in America […] coincides with massive excess mortality among people in the prime of life”,MISLEADING
47, Moderna’s lawsuits against Pfizer-BioNTech show COVID-19 vaccines were in the works before the pandemic started.,FALSE
48," This is how they sang and danced in the name of science. Let’s remember the RETARDS – criminals in white coats. If anyone has information about the JERKS from this video, send it to my inbox. We will promote them by name and surname. (those who publicly promoted injection are not forgotten. They will be regularly reminded of their crime).",FALSE
49, “44 Percent of Pregnant Women in Pfizer Trial Lost Their Babies”,FALSE
50, “67% of your COVID deaths that you’re creating are from your virus that you’re putting [in vaccinated] people.”,FALSE
51," The post claims that the coronavirus is food poisoning, cold, flu, and pneumonia, that PCR tests do not serve as a diagnosis, and that the abolishment of measures is not due to a weakened virus, but due to the decisions of courts around the world that rejected masks and mandatory vaccination. The post sarcastically refers to the coronavirus as an “onion,” a metaphor for fake news.",FALSE
52, A photo shows NBA star Magic Johnson donating blood for people with COVID-19.,FALSE
53, A photo shows NBA star Magic Johnson donating blood for people with COVID-19.,FALSE
54, A New England Journal of Medicine study found that vaccinated people are “5X more contagious than the unvaccinated 10 days after SARS-CoV-2 infection.”,FALSE
55," “Higher use of Covid mRNA shots correlates with a small but notable increase in all-cause mortality, according to a new paper from a Dutch researcher.”",NO EVIDENCE
56, “Nearly half of pregnant women in Pfizer trial miscarried.”,FALSE
57," “Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates, and shots.”",FALSE
58," The post said that “never before in history has a medical treatment killed and maimed so many people” as the Covid-19 vaccine and that it was a “disastrous failed experiment and the booster is actually hurting and maiming people in Canada. ” The post equates vaccines with carnage, death, and misery and shares a speech by Dr. Charles Hofe.",FALSE
59, CDC “finally admits their vaccines do not prevent anyone from getting or spreading the virus.”,FALSE
60, COVID-19 vaccines are responsible for the health problems featured in recent news reports.,FALSE
61, CDC “finally admits their vaccines do not prevent anyone from getting or spreading the virus.”,FALSE
62, Someone found all the vaccinated people around them via bluetooth from a mobile phone.,FALSE
63," Tedros admitted that he is “unvaccinated.” In protest, because he comes from the poor country of Ethiopia and poor Africa, which, as he once said elsewhere, is at a disadvantage when it comes to vaccination and does not want to be pushed. He is brave enough to let others go first, a true philanthropist!",FALSE
