,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1626352378487181313,1626260155145895941,1676587597000.0,2023-02-16 22:46:37,+0000,,"@kyoag Win for life and the innocent.   Daniel when you are Governor, make major moves to promote adoption and support families. After defeating abortion. This is the next step for pro life.",en,[],[],489522595,489522595,Mr_SFowler,🤦‍♂️,4,22,https://twitter.com/Mr_SFowler/status/1626352378487181313,[],[],0,,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'kyoag', 'name': 'Attorney General Daniel Cameron', 'id': '1205238738097455104'}]",,,,
1,1626352349135478784,1626352349135478784,1676587590000.0,2023-02-16 22:46:30,+0000,,Encouraging suicide is not pro-life.,en,[],[],1526337111833583619,1526337111833583619,ProTruth4Life,𝐏𝐫𝐨-𝐓𝐫𝐮𝐭𝐡,4,22,https://twitter.com/ProTruth4Life/status/1626352349135478784,[],[],0,,False,0,0,0,https://twitter.com/douglasserwada/status/1626256515395887106,pro life,,,,,,,[],,,,
2,1626352103282155522,1625483544767102976,1676587532000.0,2023-02-16 22:45:32,+0000,,@MalloryMcMorrow SO MUCH FOR PRO LIFE,en,[],[],75836197,75836197,michellefla,Michelle Bruno Rosenbaum - 🇺🇲🇺🇦🇲🇺 Still Here,4,22,https://twitter.com/michellefla/status/1626352103282155522,[],[],0,,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'MalloryMcMorrow', 'name': 'Mallory McMorrow', 'id': '860715570'}]",,,,
3,1626352071531237377,1626256755536674818,1676587524000.0,2023-02-16 22:45:24,+0000,,@GovernorShapiro Pro life wins!,en,[],[],1523285993784283137,1523285993784283137,LadyLawyerUSA,Lady Lawyer,4,22,https://twitter.com/LadyLawyerUSA/status/1626352071531237377,[],[],0,,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'GovernorShapiro', 'name': 'Governor Josh Shapiro', 'id': '2978837542'}]",,,,
4,1626352011489804289,1622747030585241601,1676587510000.0,2023-02-16 22:45:10,+0000,,@ThomasDAgostin9 @JackieOMoleski @MorePerfectUS “Anti-pro-life”  https://t.co/csrvUBTzkG,en,[],[],373205943,373205943,pixelkitties,Legacy Velocitron Speedia 500 Collection Glomgold,4,22,https://twitter.com/pixelkitties/status/1626352011489804289,[],['https://pbs.twimg.com/tweet_video_thumb/FpH2h-cXwAI5U1y.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FpH2h-cXwAI5U1y.jpg,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'ThomasDAgostin9', 'name': 'Thomas D’Agostino', 'id': '1387845232897765376'}, {'screen_name': 'JackieOMoleski', 'name': 'Jacqueline O Moleski', 'id': '225839801'}, {'screen_name': 'MorePerfectUS', 'name': 'More Perfect Union', 'id': '1321935792416149505'}]",,,,
5,1626351987968057344,1626351987968057344,1676587504000.0,2023-02-16 22:45:04,+0000,,Policing infertile couples' efforts to conceive is not pro-life.,en,[],[],1526337111833583619,1526337111833583619,ProTruth4Life,𝐏𝐫𝐨-𝐓𝐫𝐮𝐭𝐡,4,22,https://twitter.com/ProTruth4Life/status/1626351987968057344,[],[],0,,False,0,0,0,https://twitter.com/KristanHawkins/status/1626306687199023104,pro life,,,,,,,[],,,,
6,1626351894422597635,1626332106765770752,1676587482000.0,2023-02-16 22:44:42,+0000,,"@TheGaryLambert Created lots of good content with it. Went and played sports with all the teams while wearing it, the go pro footage of dodgeball and handball was hilarious. One of the best weeks of my life",en,[],[],1611700288007593987,1611700288007593987,_laurag23,Laura,4,22,https://twitter.com/_laurag23/status/1626351894422597635,[],[],0,,False,0,1,0,,pro life,,,,,,,"[{'screen_name': 'TheGaryLambert', 'name': 'Gary Lambert', 'id': '317424950'}]",,,,
7,1626351859509370882,1626290856146898944,1676587474000.0,2023-02-16 22:44:34,+0000,,"@macariomx No parece, es.",es,[],[],1087166929821974528,1087166929821974528,Ricardo51030727,Ricardo ProLife Army ⚔️🛡👣,4,22,https://twitter.com/Ricardo51030727/status/1626351859509370882,[],[],0,,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'macariomx', 'name': 'Macario Schettino', 'id': '23322761'}]",,,,
8,1626351732828807168,1626252890170920963,1676587443000.0,2023-02-16 22:44:03,+0000,,@JohnA_USMCvet Nice! How are you enjoying your new home Gunny?,en,[],[],15661497,15661497,life2point0pro,Agent 008 🇺🇸,4,22,https://twitter.com/life2point0pro/status/1626351732828807168,[],[],0,,False,0,0,0,,pro life,,,,,,,"[{'screen_name': 'JohnA_USMCvet', 'name': 'Gunny Fustercluck_1369🔄🌊🗽✍', 'id': '828997344477663232'}]",,,,
9,1626351705070739456,1626351705070739456,1676587437000.0,2023-02-16 22:43:57,+0000,,AND DON’T THEY CLAIM TO BE PRO LIFE????,en,[],[],899440385889587206,899440385889587206,Patricemdevine,Patrice Devine,4,22,https://twitter.com/Patricemdevine/status/1626351705070739456,[],[],0,,False,0,0,0,https://twitter.com/congressmanraja/status/1626306167336042504,pro life,,,,,,,[],,,,
